fid,field_1,link,captured,date,x,y,image_name,location
"14","14","https://www.google.com/maps/@1.3033559,103.7640385,3a,75y,160.87h,93.19t/data=!3m10!1e1!3m8!1sUgwo7WtJ2_JFK1aRRZRj1w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DUgwo7WtJ2_JFK1aRRZRj1w%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D150.72406%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i61","1","305",1.3033559,103.7640385,panorama-Ugwo7WtJ2_JFK1aRRZRj1w,Clementi Neighborhood Centre
"15","15","https://www.google.com/maps/@1.3044437,103.7640319,3a,75y,290.35h,93.75t/data=!3m9!1e1!3m7!1s0yfIxzmomVAxXiYwQnPTOw!2e0!7i16384!8i8192!9m2!1b1!2i15","1","305",1.3044437,103.7640319,panorama-0yfIxzmomVAxXiYwQnPTOw,Clementi Neighborhood Centre
"16","16","https://www.google.com/maps/@1.3041196,103.7632821,3a,75y,305.35h,92.66t/data=!3m10!1e1!3m8!1smBfLWOF8aEBgU-josDzrnw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DmBfLWOF8aEBgU-josDzrnw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D0.57984775%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i54","1","305",1.3041196,103.7632821,panorama-mBfLWOF8aEBgU-josDzrnw,Clementi Neighborhood Centre
"17","17","https://www.google.com/maps/@1.3045129,103.76302,3a,75y,259.11h,88.46t/data=!3m9!1e1!3m7!1sRcVMNa26ePU8IXA7q1UNzw!2e0!7i16384!8i8192!9m2!1b1!2i54","1","305",1.3045129,103.76302,panorama-RcVMNa26ePU8IXA7q1UNzw,Clementi Neighborhood Centre
"18","18","https://www.google.com/maps/@1.3035376,103.7631137,3a,75y,246.03h,76.74t/data=!3m9!1e1!3m7!1spYKHrJn-q8Wxr5BSQMUI2A!2e0!7i16384!8i8192!9m2!1b1!2i15","1","305",1.3035376,103.7631137,panorama-pYKHrJn-q8Wxr5BSQMUI2A,Clementi Neighborhood Centre
"19","1","https://www.google.com/maps/@1.3123442,103.7667467,3a,75y,338.2h,83.13t/data=!3m10!1e1!3m8!1sAeJCEESkvIrY-SUWWC12_g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DAeJCEESkvIrY-SUWWC12_g%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D127.46344%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i24","1","307",1.3123442,103.7667467,panorama-AeJCEESkvIrY-SUWWC12_g,Clementi Town Centre
"20","2","https://www.google.com/maps/@1.3124617,103.7665612,3a,75y,187.84h,77.68t/data=!3m10!1e1!3m8!1sHN332ujAx3QIdCFIn4ymTA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DHN332ujAx3QIdCFIn4ymTA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D343.09415%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i24","1","307",1.3124617,103.7665612,panorama-HN332ujAx3QIdCFIn4ymTA,Clementi Town Centre
"21","3","https://www.google.com/maps/@1.312754,103.7664274,3a,75y,306.72h,84.47t/data=!3m9!1e1!3m7!1sAUYx0t5Fqxb84fpVZdpPSQ!2e0!7i16384!8i8192!9m2!1b1!2i24","1","307",1.312754,103.7664274,panorama-AUYx0t5Fqxb84fpVZdpPSQ,Clementi Town Centre
"22","4","https://www.google.com/maps/@1.3120853,103.7654824,3a,75y,135.36h,62.34t/data=!3m7!1e1!3m5!1siKP4WqMxzXlQ6C5t4W17Dw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DiKP4WqMxzXlQ6C5t4W17Dw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D102.19124%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192","1","307",1.3120853,103.7654824,panorama-iKP4WqMxzXlQ6C5t4W17Dw,Clementi Town Centre
"23","5","https://www.google.com/maps/@1.3122352,103.7653264,3a,75y,337.62h,91.91t/data=!3m6!1e1!3m4!1sXhspoakIAmOMflGp5Okzng!2e0!7i16384!8i8192","1","307",1.3122352,103.7653264,panorama-XhspoakIAmOMflGp5Okzng,Clementi Town Centre
"24","6","https://www.google.com/maps/@1.3123653,103.7650623,3a,75y,317.04h,89.1t/data=!3m9!1e1!3m7!1saStfquwU_vPR8eiwrsFxLw!2e0!7i16384!8i8192!9m2!1b1!2i15","1","307",1.3123653,103.7650623,panorama-aStfquwU_vPR8eiwrsFxLw,Clementi Town Centre
"25","7","https://www.google.com/maps/@1.3126633,103.7652589,3a,75y,273.34h,88.95t/data=!3m9!1e1!3m7!1shES8uDOYps-Z4UETTe9DgA!2e0!7i16384!8i8192!9m2!1b1!2i15","1","307",1.3126633,103.7652589,panorama-hES8uDOYps-Z4UETTe9DgA,Clementi Town Centre
"26","8","https://www.google.com/maps/@1.3127775,103.7651259,3a,75y,331.78h,96.53t/data=!3m9!1e1!3m7!1s3nfH8G2Rdd9c80HhBHyF4g!2e0!7i16384!8i8192!9m2!1b1!2i15","1","307",1.3127775,103.7651259,panorama-3nfH8G2Rdd9c80HhBHyF4g,Clementi Town Centre
